"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30024035.2",1.65583644169361e-44,0.425203485089226,0.177,0.051,4.58070593230119e-40,"Secretory","SMED30024035"
"SMED30006979.7",2.88188660100177e-44,-0.758109798867239,0.043,0.269,7.97245109301131e-40,"Secretory","SMED30006979"
"SMED30007742.4",1.13100048183922e-43,0.69146470677079,0.812,0.712,3.12879973296001e-39,"Secretory","SMED30007742"
"SMED30022444.6",1.62564553685455e-43,-1.06483246887955,0.27,0.493,4.49718581315443e-39,"Secretory","SMED30022444"
"SMED30000038.6",2.12215280164855e-43,1.02088741823876,0.573,0.413,5.87072351048056e-39,"Secretory","SMED30000038"
"SMED30028728.2",3.12008988441815e-43,-0.749447592204126,0.052,0.278,8.63141665625437e-39,"Secretory","SMED30028728"
"SMED30008917.4",6.88045812910247e-43,-1.74245528497161,0.053,0.273,1.90340993683491e-38,"Secretory","SMED30008917"
"SMED30003276.5",2.83093776799974e-42,0.8985785877479,0.388,0.202,7.83150624139448e-38,"Secretory","SMED30003276"
"SMED30029070.1",3.34817395934648e-42,0.575111788974764,0.196,0.064,9.26238844113611e-38,"Secretory","SMED30029070"
"SMED30008033",4.29479136861251e-42,0.343254977543587,0.138,0.035,1.18811108421297e-37,"Secretory","SMED30008033"
"SMED30034520.7",1.82579061511525e-41,-0.77331950007055,0.089,0.323,5.05086715765483e-37,"Secretory","SMED30034520"
"SMED30006773.7",1.96098292689805e-41,0.506269422198028,0.521,0.311,5.42486316897076e-37,"Secretory","SMED30006773"
"SMED30019288.4",1.97017535047074e-41,-0.831412449315481,0.229,0.479,5.45029308954225e-37,"Secretory","SMED30019288"
"SMED30002436.7",2.5769283761874e-41,-0.837601499156211,0.08,0.307,7.12881465988482e-37,"Secretory","SMED30002436"
"SMED30035769.1",2.59491194847852e-41,0.254950372868611,0.144,0.037,7.17856441427098e-37,"Secretory","SMED30035769"
"SMED30010297.7",2.61368597476076e-41,-0.914440194907477,0.107,0.338,7.23050088057817e-37,"Secretory","SMED30010297"
