"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30011982.1",2.68660073674219e-82,-0.448226567755329,0.843,0.953,7.43221227812359e-78,"Neuronal","SMED30011982"
"SMED30007498.1",5.8359708852377e-82,-0.526954242240707,0.678,0.905,1.61446298569216e-77,"Neuronal","SMED30007498"
"SMED30010415.4",8.83794222535707e-82,-1.44151962758427,0.033,0.271,2.44492833722278e-77,"Neuronal","SMED30010415"
"SMED30024098.2",1.45104703531175e-81,-0.522790893496072,0.196,0.534,4.01417651848642e-77,"Neuronal","SMED30024098"
"SMED30031735.1",1.87070445244547e-81,0.703951039417744,0.164,0.038,5.17511679724513e-77,"Neuronal","SMED30031735"
"SMED30013692.1",2.15496487342197e-81,0.728682155648188,0.824,0.795,5.96149482583454e-77,"Neuronal","SMED30013692"
"SMED30021718",2.84805545404757e-81,0.758312774995012,0.162,0.037,7.8788606080772e-77,"Neuronal","SMED30021718"
"SMED30033690.2",5.77792135596554e-81,1.11185777525074,0.245,0.085,1.59840416391431e-76,"Neuronal","SMED30033690"
"SMED30010360.3",6.36090289819474e-81,1.07844348871607,0.592,0.469,1.75968017775659e-76,"Neuronal","SMED30010360"
"SMED30031197.2",7.76311335206264e-81,0.94997716426481,0.287,0.113,2.14758767771461e-76,"Neuronal","SMED30031197"
"SMED30022348.3",1.24061759711646e-80,-0.589267180985487,0.485,0.794,3.43204452066297e-76,"Neuronal","SMED30022348"
"SMED30013893.2",1.26334203802968e-80,-0.581277248526375,0.278,0.632,3.4949094140053e-76,"Neuronal","SMED30013893"
"SMED30010101.3",1.597268845842e-80,-0.6268726075025,0.309,0.664,4.41868453513731e-76,"Neuronal","SMED30010101"
"SMED30025220.2",1.69971644009229e-80,-0.504980205926946,0.69,0.908,4.7020955598713e-76,"Neuronal","SMED30025220"
"SMED30021037.2",2.50901076087671e-80,-0.522365092908418,0.15,0.461,6.94092736888932e-76,"Neuronal","SMED30021037"
"SMED30034180",2.87658018352774e-80,0.795393988490184,0.192,0.054,7.95777141971114e-76,"Neuronal","SMED30034180"
"SMED30003623.3",4.27063964833092e-80,-0.517255698633775,0.227,0.573,1.18142975231427e-75,"Neuronal","SMED30003623"
"SMED30009616.3",4.47209772310638e-80,0.997587195653321,0.637,0.567,1.23716111412015e-75,"Neuronal","SMED30009616"
"SMED30001341",4.91283765565704e-80,0.840645603668905,0.117,0.018,1.35908740906096e-75,"Neuronal","SMED30001341"
"SMED30029180.2",6.7326160490438e-80,-0.502897689371261,0.162,0.478,1.86251090380748e-75,"Neuronal","SMED30029180"
"SMED30006065.4",1.05659551130085e-79,-0.637155355967327,0.032,0.265,2.92296582246267e-75,"Neuronal","SMED30006065"
"SMED30020948.4",2.17744303850873e-79,-0.836043160934562,0.095,0.359,6.02367842173056e-75,"Neuronal","SMED30020948"
"SMED30007097.2",2.4441492791613e-79,-0.779079459240215,0.077,0.336,6.76149456587183e-75,"Neuronal","SMED30007097"
"SMED30035906.3",2.60981293298721e-79,1.26400012951509,0.271,0.108,7.2197864978158e-75,"Neuronal","SMED30035906"
"SMED30027652.1",2.64411392606373e-79,-0.508740677398147,0.038,0.275,7.31467676506269e-75,"Neuronal","SMED30027652"
"SMED30018697.1",3.51346685969127e-79,-0.478473407621807,0.105,0.389,9.71965472064994e-75,"Neuronal","SMED30018697"
"SMED30008086.2",3.76066839301137e-79,-0.515593332575392,0.056,0.305,1.04035130424266e-74,"Neuronal","SMED30008086"
"SMED30018504.1",3.80829365306373e-79,-0.520331098853327,0.456,0.806,1.05352635618355e-74,"Neuronal","SMED30018504"
"SMED30008111.2",4.61832593193716e-79,-0.580137916959469,0.37,0.713,1.2776136858111e-74,"Neuronal","SMED30008111"
"SMED30026660.1",5.8210759621576e-79,-0.475975347971526,0.066,0.324,1.61034245417128e-74,"Neuronal","SMED30026660"
