"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30011669.2",6.63343403216735e-16,-1.24434964852241,0.662,0.509,1.83507319065878e-11,"AP-6","SMED30011669"
"SMED30029960.1",8.68623783230915e-16,-0.333178780035042,0.972,0.932,2.40296083393e-11,"AP-6","SMED30029960"
"SMED30002110.1",1.13448146180653e-14,-0.437493850627358,0.993,0.956,3.13842951594159e-10,"AP-6","SMED30002110"
"SMED30024354.3",1.21117297216577e-14,-0.250018306543174,0.783,0.63,3.35058891019937e-10,"AP-6","SMED30024354"
"SMED30009662.4",1.5155716179959e-14,-1.2193809775667,0.12,0.197,4.19267732402387e-10,"AP-6","SMED30009662"
"SMED30030778.4",5.66579102357461e-14,-0.965830265104358,0.118,0.192,1.56738442876168e-09,"AP-6","SMED30030778"
"SMED30014705.5",8.64401358599111e-14,-1.05522238409876,0.631,0.456,2.39127991842858e-09,"AP-6","SMED30014705"
"SMED30014243.2",1.12416226022764e-13,-0.410874475799548,0.991,0.952,3.10988247669374e-09,"AP-6","SMED30014243"
"SMED30002331.3",1.18203113541983e-13,-0.582926481966414,0.042,0.103,3.26997093302541e-09,"AP-6","SMED30002331"
"SMED30009898.5",1.31631366323522e-13,-1.13300570964523,0.422,0.288,3.6414501179739e-09,"AP-6","SMED30009898"
"SMED30012398.4",2.83562921039979e-13,-2.21893062044265,0.639,0.493,7.84448464764997e-09,"AP-6","SMED30012398"
"SMED30005341",4.16305116950528e-13,-0.267459931300117,0.937,0.87,1.15166647553194e-08,"AP-6","SMED30005341"
"SMED30035904.3",1.28622004419117e-12,-0.255042904253674,0.589,0.459,3.55819913025046e-08,"AP-6","SMED30035904"
"SMED30032339.5",1.47204934999318e-12,-0.771401022355988,0.32,0.227,4.07227732182113e-08,"AP-6","SMED30032339"
"SMED30006220.5",1.76303996223968e-12,-0.482458279901078,0.068,0.131,4.87727375153985e-08,"AP-6","SMED30006220"
"SMED30001635.1",5.35582517767897e-12,-0.32539393318695,0.996,0.969,1.48163547715311e-07,"AP-6","SMED30001635"
"SMED30030464.1",6.06656952371978e-12,-0.36721529450128,0.549,0.42,1.67825579304184e-07,"AP-6","SMED30030464"
"SMED30028142.1",9.54930093109448e-12,-0.38660444512317,0.62,0.482,2.64171860957798e-07,"AP-6","SMED30028142"
"SMED30006104.2",1.33526158832657e-11,-0.257593275317291,0.903,0.816,3.69386765794664e-07,"AP-6","SMED30006104"
"SMED30028184",1.43453388376269e-11,-0.274355995035833,0.956,0.886,3.96849453604111e-07,"AP-6","SMED30028184"
"SMED30009302.2",2.14953519864539e-11,-0.25993899626788,0.52,0.394,5.94647417353262e-07,"AP-6","SMED30009302"
"SMED30028226.5",3.14235909433022e-11,-2.3574596207824,0.689,0.536,8.69302219855512e-07,"AP-6","SMED30028226"
"SMED30030996.1",3.57027100878041e-11,-0.569362525265664,0.618,0.485,9.87679771869013e-07,"AP-6","SMED30030996"
"SMED30025741.2",3.76892522667128e-11,-0.420743767421288,0.711,0.592,1.04263547470634e-06,"AP-6","SMED30025741"
"SMED30004187.2",4.82635897788563e-11,-0.629918936712079,0.29,0.194,1.33516394764228e-06,"AP-6","SMED30004187"
"SMED30011903.3",6.76383078986437e-11,-0.419038053555947,0.316,0.369,1.87114614970808e-06,"AP-6","SMED30011903"
"SMED30014689.1",7.76586916727276e-11,-0.25114972728536,0.686,0.65,2.14835004643434e-06,"AP-6","SMED30014689"
"SMED30031091.2",8.6082171588817e-11,-0.33369705243578,0.6,0.608,2.38137719483303e-06,"AP-6","SMED30031091"
"SMED30002134.3",8.72698582289345e-11,-0.490758546074253,0.856,0.768,2.41423335804524e-06,"AP-6","SMED30002134"
"SMED30031990.3",9.19002961836347e-11,-0.343851385057484,0.567,0.445,2.54232979362407e-06,"AP-6","SMED30031990"
"SMED30014724.2",1.54204690687415e-10,-0.353913319929096,0.918,0.848,4.26591856317665e-06,"AP-6","SMED30014724"
"SMED30030461.2",1.66641925504287e-10,-0.637684883350265,0.073,0.13,4.6099822271506e-06,"AP-6","SMED30030461"
"SMED30025889",2.16012738230318e-10,-0.263085207103595,0.647,0.643,5.97577639040351e-06,"AP-6","SMED30025889"
"SMED30014658.1",2.35699799150568e-10,-0.262760598142551,0.968,0.89,6.52039924370131e-06,"AP-6","SMED30014658"
"SMED30027540",2.44310752595392e-10,-0.296742153869079,0.996,0.954,6.75861265979894e-06,"AP-6","SMED30027540"
"SMED30016281.1",2.60856997087024e-10,-0.716962687176134,0.967,0.918,7.21634796741542e-06,"AP-6","SMED30016281"
"SMED30009801.1",2.85723404616133e-10,-0.444854951290837,0.673,0.552,7.90425226530069e-06,"AP-6","SMED30009801"
"SMED30027307.3",2.89972169888504e-10,-1.27906616190787,0.676,0.556,8.02179010779557e-06,"AP-6","SMED30027307"
"SMED30019668.1",3.06622003264108e-10,-0.280360211569318,0.999,0.969,8.48239109829829e-06,"AP-6","SMED30019668"
