"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30001720",2.13918679044033e-24,-0.299143270121903,0.778,0.852,5.91784633707413e-20,"AP-3","SMED30001720"
"SMED30025142.1",3.03528529751047e-24,0.688392119047589,0.185,0.083,8.39681324703296e-20,"AP-3","SMED30025142"
"SMED30015413.1",3.03760802552673e-24,-0.570705267018079,0.903,0.942,8.40323884181716e-20,"AP-3","SMED30015413"
"SMED30029016",5.53136224334324e-24,-0.414327432440892,0.988,0.996,1.53019605099847e-19,"AP-3","SMED30029016"
"SMED30028040",8.0455371744595e-24,-0.396500400996107,0.745,0.827,2.22571740394248e-19,"AP-3","SMED30028040"
"SMED30030643.1",9.8858785404241e-24,-0.315376761245712,0.676,0.773,2.73482943942292e-19,"AP-3","SMED30030643"
"SMED30016063.1",2.3636453294024e-23,-0.341532204836702,0.055,0.183,6.5387884392588e-19,"AP-3","SMED30016063"
"SMED30018515.1",2.41881558424859e-23,-0.310756124995228,0.374,0.52,6.6914114322653e-19,"AP-3","SMED30018515"
"SMED30015575.1",3.15578158796305e-23,-0.528766906063521,0.335,0.463,8.73015418494097e-19,"AP-3","SMED30015575"
"SMED30021661.1",3.59690370617071e-23,-0.345606393489569,0.131,0.278,9.95047441275065e-19,"AP-3","SMED30021661"
"SMED30034525",7.16116629807193e-23,-0.253207586263489,0.153,0.293,1.98106504469862e-18,"AP-3","SMED30034525"
"SMED30017516",1.16069454441515e-22,-0.61734967435217,0.541,0.647,3.21094538767008e-18,"AP-3","SMED30017516"
"SMED30007629.1",2.0516841667588e-22,1.43179060638153,0.92,0.846,5.67577907892155e-18,"AP-3","SMED30007629"
"SMED30014360.1",2.59905511950599e-22,-0.436147007226664,0.198,0.338,7.19002608260137e-18,"AP-3","SMED30014360"
"SMED30035469.1",5.50126538447309e-22,-0.298959129648122,0.643,0.748,1.52187005596064e-17,"AP-3","SMED30035469"
"SMED30004725",5.8818273788328e-22,-0.313768300459974,0.281,0.433,1.6271487260803e-17,"AP-3","SMED30004725"
"SMED30029432",7.64806281928757e-22,-0.396502547149973,0.808,0.867,2.11576009832771e-17,"AP-3","SMED30029432"
"SMED30032339.1",8.68237753768519e-22,-0.866085809219159,0.058,0.177,2.40189292202523e-17,"AP-3","SMED30032339"
"SMED30002788",8.73793148691127e-22,-0.275386257485186,0.343,0.478,2.41726136653913e-17,"AP-3","SMED30002788"
"SMED30001807",9.30012195977907e-22,-0.451157277416469,0.914,0.963,2.57278573895328e-17,"AP-3","SMED30001807"
"SMED30024775.1",9.79540352512317e-22,-0.37380067507891,0.307,0.444,2.70980043119008e-17,"AP-3","SMED30024775"
"SMED30003613.1",1.36644752602504e-21,-0.425323711111155,0.608,0.715,3.78014043599566e-17,"AP-3","SMED30003613"
"SMED30012764",1.5398525939776e-21,-0.319889144067462,0.253,0.383,4.25984821597964e-17,"AP-3","SMED30012764"
"SMED30017749",1.57834409904068e-21,-0.307864802999906,0.152,0.299,4.36633111558615e-17,"AP-3","SMED30017749"
"SMED30013408",1.72582211677659e-21,-0.290643247671784,0.47,0.596,4.77431430385075e-17,"AP-3","SMED30013408"
"SMED30019200",1.89792367701957e-21,-0.308344537317411,0.52,0.626,5.25041606010693e-17,"AP-3","SMED30019200"
"SMED30014095",5.6120370427722e-21,-0.327695945727418,0.206,0.352,1.5525139275125e-16,"AP-3","SMED30014095"
"SMED30031418.1",8.28827241560883e-21,-0.676973046501902,0.494,0.627,2.29286768105403e-16,"AP-3","SMED30031418"
"SMED30004487.1",9.78192859720019e-21,-0.341875468532856,0.519,0.621,2.70607272712946e-16,"AP-3","SMED30004487"
"SMED30031857",1.65653987710641e-20,0.291045059841716,0.656,0.558,4.58265191602718e-16,"AP-3","SMED30031857"
"SMED30018614.1",2.16719911884189e-20,-1.26122688599171,0.186,0.319,5.99533964236422e-16,"AP-3","SMED30018614"
"SMED30022790",2.62011808431979e-20,-0.259219349957128,0.267,0.406,7.24829466846226e-16,"AP-3","SMED30022790"
"SMED30031289",5.78436280951885e-20,0.298293849168651,0.408,0.281,1.60018612762529e-15,"AP-3","SMED30031289"
"SMED30009782.1",6.8394667753933e-20,-0.295826876569755,0.136,0.274,1.8920700887448e-15,"AP-3","SMED30009782"
"SMED30012189",9.9211628334929e-20,0.316798815406659,0.466,0.339,2.74459048625747e-15,"AP-3","SMED30012189"
"SMED30010562",1.21359621309964e-19,-0.348279000302235,0.816,0.87,3.35729256391885e-15,"AP-3","SMED30010562"
"SMED30026116",1.47557450704917e-19,0.32592348101364,0.464,0.342,4.08202931630082e-15,"AP-3","SMED30026116"
